37.59.45.199:2014 > Brasil Life City RPG [v1.0] | 2/55
37.59.45.199:5108 > cYs 1v1 Battlefield [2] [SA-MP.me] | 0/50
37.59.45.199:5124 > Vexare - Roleplay en Español (0.3.7) | 0/55
37.59.45.199:5245 > Test server | 0/30
37.59.45.199:5263 > SA-MP 0.3 Server | 0/55
37.59.45.199:5338 > Ideal Gaming | 0/55
37.59.45.199:5347 > [0.3-DL] NA-RP Server Mapping | 2/30
37.59.45.199:5455 > FIGHT WITH SAWN  CW/TG Skinshot | 0/30
37.59.45.199:5550 > [sa-mp.me 0.3.7] Heroes RPG | Server ON | 0/50
37.59.45.199:5970 > Brcity RP BR RPG [v1.0] | 3/30
37.59.45.199:6247 > ProjectX[Traze se admini!] | 0/50
37.59.45.199:6273 > Thug Life Cops and Robbers | 0/55
37.59.45.199:6274 > _________ ~ LOS SANTOS GANG WAR ~ _________ | 0/55
37.59.45.199:6394 > Brcity RP BR RPG [v1.0] | 0/55
37.59.45.199:6427 > IRANCAPRIGHT AZ BEYN RAFT! | 0/50
37.59.45.199:6559 > CityLife Roleplay l Venha jogar conosco! | 0/55
37.59.45.199:6670 > Balkan Life RPG/DM [0.3e balkan-lifec.com.hr] | 0/55
37.59.45.199:6828 > [RU]NightLandSAMP[RU] | 0/55
37.59.45.199:7076 > (FR) Las Venturas Roleplay | 2/55
37.59.45.199:7091 > [EG] - Eclipse Gaming RPG Macedonia [SOON] | 5/55
37.59.45.199:7150 > Brasil Mundo Online RPG | 0/50
37.59.45.199:7288 > Romania Super Stunt - Map Editor | 0/10
37.59.45.199:7485 > Elliniko Roleplay Server 1.1 | 0/15
37.59.45.199:7591 > Sokolovi RPG server | 1/50
37.59.45.199:7595 > SA-MP 0.3 Server | 0/30
37.59.45.199:7610 > xoomer.ro |sedinta staff 09/05/2020| | 1/55
37.59.45.199:7604 > Ghostly.co.il - Turbo DeathMatch | 0/50
37.59.45.199:7631 > Italian AAD [CoE] | 0/30
37.59.45.199:7715 > SA-MP 0.3 Server [SA-MP.me] | 0/55
37.59.45.199:7725 > Mapping Server | 1/30
37.59.45.199:7741 > KRVAVI BALKAN ELITEZ | 0/55
37.59.45.199:7770 > Brasil Sua Segunda Vida RPG| [sa-mp.me] | 1/55
37.59.45.199:7808 > SA-MP 0.3 Server | 0/30
37.59.45.199:7864 > Bonifus Cops And Robbers | 0/30
37.59.45.199:8116 > [0.3-DL] Bezzy Role Play | 0/50
37.59.45.199:8202 > Tinseltown - Juego de Rol | 0/55
37.59.45.199:8245 > Romania Exotic Stunt | /BuyAdmin - Admin Free ! | 0/50
37.59.45.199:8371 > SA-MP 0.3 Server | 0/50
37.59.45.199:8477 > [Z] Zetronium Community | 0/20
37.59.45.199:8504 > Play Insane ® Vagas lider/familia/batalhao | 0/55
37.59.45.199:8649 > Brcity RP BR RPG [v1.0] | 0/50
37.59.45.199:8695 > SA-MP 0.3 Server | 0/10
37.59.45.199:8805 > Carga Pesada - ImprioHost | 0/55
37.59.45.199:8809 > Medium4Play RPG | Giftbox ON! | 0/30
37.59.45.199:8874 > Brasil Universal Life [RPG v1.0] | 0/55
37.59.45.199:8925 > SA-MP 0.3 Server | 0/55
